order_id,warehouse_location,customer_city,distance_km,vehicle_type,rider_id,rider_age,rider_rating,traffic_condition,weather,shift_type,order_category,package_weight_kg,fragile,temperature_sensitive,delivery_priority,delivery_status,Estimated_delivery_time,Actual_delivery_time,delivered_on_time,ROUTE EFFECTENCY CALCULATOR
O100000,Pune,Mumbai,20.1,Mini Truck,R1000,25,4.83,Medium,Rainy,Night,Books,0.25,No,No,Normal,Delivered,94,97,Yes,4.7
O100001,Ahmedabad,Bangalore,14.4,Mini Truck,R1001,52,4.47,Medium,Clear,Morning,Electronics,3.76,No,No,Normal,Delivered,56,64,No,3.9
O100002,Chennai,Hyderabad,22.5,Mini Truck,R1002,48,4.41,Medium,Clear,Morning,Books,1.75,No,No,Low,Delivered,87,78,Yes,3.9
O100003,Hyderabad,Hyderabad,12.6,Bike,R1003,40,4.69,High,Clear,Night,Clothing,1.27,No,No,Normal,Delivered,60,73,No,4.8
O100004,Chennai,Delhi,20.4,Mini Truck,R1004,42,4.38,Low,Clear,Morning,Furniture,4.2,No,No,Normal,Delivered,61,44,Yes,3.0
O100005,Ahmedabad,Mumbai,13.5,Mini Truck,R1005,46,4.1,High,Clear,Evening,Pharma,0.48,No,No,Normal,Delivered,64,42,Yes,4.7
O100006,Kolkata,Kolkata,17.7,Mini Truck,R1006,25,4.05,Medium,Rainy,Night,Books,1.99,No,No,Normal,Delivered,83,86,Yes,4.7
O100007,Kolkata,Mumbai,15.3,Van,R1007,40,4.46,Low,Windy,Night,Electronics,4.03,No,No,Normal,Delivered,50,48,Yes,3.3
O100008,Hyderabad,Bangalore,7.1,Mini Truck,R1008,24,4.27,Low,Rainy,Evening,Clothing,1.36,No,No,High,Failed,25,31,No,3.5
O100009,Kolkata,Delhi,11.7,Mini Truck,R1009,40,4.49,High,Clear,Morning,Pharma,1.02,No,No,High,Delivered,56,59,Yes,4.8
O100010,Chennai,Chennai,13.1,Van,R1010,45,4.45,Low,Rainy,Evening,Pharma,3.08,No,No,Low,Delivered,47,22,Yes,3.6
O100011,Kolkata,Pune,16.3,Bike,R1011,51,4.13,Medium,Clear,Night,Furniture,2.12,No,No,Normal,Delivered,63,75,No,3.9
O100012,Mumbai,Ahmedabad,15.1,Mini Truck,R1012,31,4.52,High,Clear,Afternoon,Clothing,3.23,No,Yes,Normal,Delivered,72,76,Yes,4.8
O100013,Delhi,Chennai,6.4,Mini Truck,R1013,32,4.73,Medium,Rainy,Night,Pharma,2.31,No,Yes,Normal,Delivered,29,29,Yes,4.6
O100014,Delhi,Chennai,10.9,Bike,R1014,30,4.38,Medium,Clear,Afternoon,Pharma,1.42,No,No,Normal,Delivered,42,58,No,3.9
O100015,Bangalore,Hyderabad,21.4,Scooter,R1015,40,4.22,Low,Clear,Morning,Pharma,3.76,No,No,High,Delivered,64,56,Yes,3.0
O100016,Mumbai,Kolkata,13.5,Mini Truck,R1016,45,4.11,Low,Clear,Night,Furniture,4.28,No,No,Normal,Delivered,40,49,No,3.0
O100017,Delhi,Chennai,8.1,Scooter,R1017,48,4.67,Low,Clear,Afternoon,Electronics,1.95,No,No,Normal,Delivered,24,21,Yes,3.0
O100018,Mumbai,Bangalore,20.1,Bike,R1018,53,4.14,High,Clear,Afternoon,Furniture,5.67,No,No,High,Delivered,96,90,Yes,4.8
O100019,Hyderabad,Chennai,14.0,Van,R1019,51,4.87,High,Windy,Night,Books,5.36,Yes,No,Low,Delivered,73,66,Yes,5.2
O100020,Bangalore,Kolkata,19.5,Mini Truck,R1020,29,4.39,Medium,Rainy,Afternoon,Furniture,6.73,Yes,No,Low,Delivered,91,97,No,4.7
O100021,Kolkata,Mumbai,11.5,Scooter,R1021,37,4.56,Medium,Clear,Afternoon,Grocery,2.64,No,No,Normal,Delivered,44,53,No,3.8
O100022,Kolkata,Pune,10.9,Scooter,R1022,32,4.28,Low,Windy,Night,Books,2.85,No,No,Normal,Delivered,35,49,No,3.2
O100023,Pune,Delhi,10.6,Bike,R1023,51,4.69,Medium,Clear,Night,Electronics,2.41,Yes,No,High,Delivered,41,23,Yes,3.9
O100024,Mumbai,Delhi,15.6,Bike,R1024,39,4.15,Low,Foggy,Night,Grocery,3.67,No,No,High,Delivered,65,64,Yes,4.2
O100025,Pune,Mumbai,25.2,Scooter,R1025,21,4.75,Medium,Windy,Morning,Electronics,1.25,No,Yes,Normal,Delivered,107,98,Yes,4.3
O100026,Hyderabad,Delhi,12.9,Mini Truck,R1026,32,4.15,Medium,Foggy,Afternoon,Furniture,2.62,No,No,Normal,Delivered,70,66,Yes,5.4
O100027,Pune,Kolkata,16.0,Mini Truck,R1027,48,4.23,Medium,Foggy,Afternoon,Pharma,4.22,No,No,High,Delivered,87,90,Yes,5.4
O100028,Hyderabad,Pune,25.3,Bike,R1028,33,4.3,Medium,Windy,Afternoon,Books,1.79,No,No,High,Delivered,108,83,Yes,4.3
O100029,Bangalore,Delhi,15.3,Mini Truck,R1029,23,5,Low,Clear,Evening,Grocery,2.61,No,No,Normal,Delivered,45,51,No,3.0
O100030,Kolkata,Mumbai,9.6,Van,R1030,35,4.25,Medium,Foggy,Afternoon,Pharma,3.78,No,No,Normal,Delivered,52,29,Yes,5.4
O100031,Kolkata,Bangalore,14.6,Bike,R1031,26,4.35,Low,Clear,Evening,Furniture,2.72,No,No,Normal,Delivered,43,49,No,2.9
O100032,Chennai,Hyderabad,16.2,Bike,R1032,47,4.79,High,Clear,Morning,Electronics,2.14,Yes,No,Normal,Delivered,77,66,Yes,4.7
O100033,Kolkata,Chennai,9.8,Bike,R1033,23,4.73,Low,Clear,Morning,Books,4.01,No,No,Normal,Delivered,29,23,Yes,3.0
O100034,Kolkata,Mumbai,12.8,Mini Truck,R1034,28,4.74,Medium,Clear,Morning,Electronics,2.98,No,No,Normal,Delivered,49,55,No,3.8
O100035,Bangalore,Mumbai,11.0,Bike,R1035,29,4.02,High,Clear,Evening,Books,3.31,No,No,Normal,Delivered,52,46,Yes,4.7
O100036,Pune,Ahmedabad,25.4,Scooter,R1036,43,4.3,Low,Foggy,Evening,Clothing,1.97,No,No,Normal,Delivered,106,115,No,4.2
O100037,Ahmedabad,Delhi,8.4,Bike,R1037,38,4.65,Medium,Rainy,Morning,Electronics,2.11,No,No,High,Delivered,39,37,Yes,4.6
O100038,Kolkata,Pune,11.9,Scooter,R1038,39,4.63,Low,Clear,Afternoon,Electronics,4.07,No,No,Low,Delivered,35,43,No,2.9
O100039,Kolkata,Chennai,7.4,Mini Truck,R1039,36,4.54,Low,Foggy,Morning,Furniture,5.19,Yes,No,Normal,Delivered,30,22,Yes,4.1
O100040,Hyderabad,Hyderabad,11.1,Van,R1040,27,4.05,Low,Rainy,Night,Electronics,2.24,No,No,Normal,Delivered,40,35,Yes,3.6
O100041,Mumbai,Hyderabad,13.7,Scooter,R1041,31,4.34,Medium,Clear,Night,Furniture,4.08,No,No,Normal,Delivered,53,45,Yes,3.9
O100042,Delhi,Mumbai,18.1,Bike,R1042,25,4.01,High,Clear,Afternoon,Clothing,3.85,No,No,Normal,Delivered,87,89,Yes,4.8
O100043,Delhi,Kolkata,18.9,Bike,R1043,33,4.43,Medium,Clear,Afternoon,Clothing,4.18,Yes,No,Normal,Delivered,73,81,No,3.9
O100044,Ahmedabad,Pune,12.6,Bike,R1044,52,4.39,High,Clear,Afternoon,Electronics,2.87,No,No,Normal,Delivered,60,60,Yes,4.8
O100045,Pune,Pune,17.0,Van,R1045,39,4.33,Low,Rainy,Night,Grocery,4.43,No,No,Low,Delivered,61,39,Yes,3.6
O100046,Hyderabad,Ahmedabad,4.7,Mini Truck,R1046,21,4.53,High,Clear,Night,Grocery,3.82,No,No,Normal,Delivered,22,32,No,4.7
O100047,Mumbai,Pune,16.1,Van,R1047,28,4.38,Low,Clear,Morning,Pharma,2.35,No,No,High,Delivered,48,41,Yes,3.0
O100048,Bangalore,Bangalore,12.3,Van,R1048,37,4.32,Medium,Rainy,Evening,Pharma,2.42,No,No,Normal,Delivered,57,47,Yes,4.6
O100049,Delhi,Bangalore,14.1,Mini Truck,R1049,25,4.3,Medium,Windy,Evening,Clothing,6.59,Yes,No,High,Delivered,60,72,No,4.3
O100050,Hyderabad,Mumbai,20.4,Bike,R1050,32,4.53,Medium,Clear,Night,Furniture,4.21,No,No,Normal,Delivered,79,78,Yes,3.9
O100051,Chennai,Ahmedabad,13.6,Mini Truck,R1051,47,4.53,Low,Windy,Afternoon,Pharma,3.38,No,No,Normal,Delivered,44,41,Yes,3.2
O100052,Delhi,Kolkata,18.3,Scooter,R1052,25,4.22,Medium,Clear,Evening,Books,2.58,No,Yes,Normal,Delivered,71,74,Yes,3.9
O100053,Pune,Bangalore,5.5,Scooter,R1053,38,4.03,Medium,Clear,Afternoon,Pharma,2.48,No,No,Normal,Delivered,21,21,Yes,3.8
O100054,Delhi,Kolkata,15.8,Van,R1054,26,4.47,High,Rainy,Night,Books,3.36,No,No,Normal,Delivered,90,87,Yes,5.7
O100055,Kolkata,Ahmedabad,23.4,Mini Truck,R1055,27,4.61,Low,Rainy,Afternoon,Pharma,1.55,No,No,Normal,Delivered,84,79,Yes,3.6
O100056,Pune,Chennai,13.0,Van,R1056,38,4.51,High,Windy,Night,Clothing,0.73,No,No,High,Delivered,68,61,Yes,5.2
O100057,Hyderabad,Bangalore,9.6,Van,R1057,54,4.51,Medium,Rainy,Morning,Furniture,4,No,No,Normal,Delivered,44,30,Yes,4.6
O100058,Chennai,Chennai,18.8,Mini Truck,R1058,43,4.18,Low,Clear,Night,Furniture,5.3,No,No,Normal,Delivered,56,54,Yes,3.0
O100059,Pune,Pune,18.5,Bike,R1059,47,4.41,Medium,Clear,Night,Books,5.34,No,No,Normal,Delivered,72,79,No,3.9
O100060,Pune,Kolkata,17.5,Bike,R1060,23,4.26,Medium,Rainy,Morning,Clothing,3.98,Yes,No,Normal,Delivered,82,78,Yes,4.7
O100061,Pune,Bangalore,4.8,Van,R1061,29,4.41,Low,Foggy,Morning,Books,2.4,No,No,Normal,Delivered,20,18,Yes,4.1
O100062,Hyderabad,Kolkata,11.7,Van,R1062,54,4.16,Medium,Foggy,Morning,Grocery,5.14,No,No,Normal,Delivered,63,72,No,5.4
O100063,Delhi,Ahmedabad,11.1,Scooter,R1063,46,4.29,Medium,Rainy,Evening,Pharma,5.37,Yes,No,Normal,Delivered,51,51,Yes,4.6
O100064,Hyderabad,Hyderabad,14.0,Bike,R1064,54,4.15,Medium,Rainy,Night,Clothing,3.44,No,No,Normal,Delivered,65,67,Yes,4.6
O100065,Delhi,Mumbai,9.4,Mini Truck,R1065,35,4.35,Low,Clear,Morning,Grocery,4.88,No,No,Normal,Delivered,28,44,No,3.0
O100066,Mumbai,Ahmedabad,18.1,Van,R1066,53,4.27,Low,Clear,Morning,Grocery,0.02,No,No,High,Delivered,54,67,No,3.0
O100067,Ahmedabad,Kolkata,16.8,Van,R1067,24,4.37,High,Clear,Morning,Grocery,3.6,No,No,Normal,Delivered,80,100,No,4.8
O100068,Kolkata,Kolkata,25.3,Scooter,R1068,50,4.13,Low,Clear,Evening,Grocery,3.6,No,No,Normal,Delivered,75,85,No,3.0
O100069,Kolkata,Ahmedabad,18.0,Bike,R1069,36,3.91,Low,Clear,Evening,Pharma,2.2,No,No,Normal,Delivered,54,53,Yes,3.0
O100070,Kolkata,Pune,10.8,Mini Truck,R1070,26,4.64,High,Rainy,Morning,Grocery,2.49,No,No,Low,Delivered,62,65,Yes,5.7
O100071,Ahmedabad,Chennai,11.8,Van,R1071,47,3.94,Medium,Clear,Morning,Clothing,4.57,No,No,Low,Delivered,45,44,Yes,3.8
O100072,Hyderabad,Pune,20.9,Mini Truck,R1072,32,4.66,Low,Clear,Evening,Furniture,3.55,No,No,Normal,Delivered,62,52,Yes,3.0
O100073,Kolkata,Hyderabad,4.6,Bike,R1073,50,4.2,Low,Rainy,Morning,Furniture,3.97,No,No,Normal,Delivered,16,13,Yes,3.5
O100074,Bangalore,Mumbai,9.0,Scooter,R1074,52,4.71,Low,Windy,Night,Grocery,4.61,No,No,Normal,Delivered,29,34,Yes,3.2
O100075,Hyderabad,Pune,17.6,Van,R1075,44,4.6,Low,Clear,Afternoon,Grocery,3.77,No,No,High,Delivered,52,40,Yes,3.0
O100076,Mumbai,Hyderabad,18.6,Van,R1076,48,4.27,Low,Clear,Evening,Electronics,3.58,Yes,No,Normal,Delivered,55,55,Yes,3.0
O100077,Delhi,Chennai,14.6,Mini Truck,R1077,54,4.1,Medium,Foggy,Afternoon,Grocery,3.81,No,No,High,Delivered,79,72,Yes,5.4
O100078,Pune,Bangalore,13.4,Scooter,R1078,42,4.59,Medium,Foggy,Night,Clothing,0.87,No,No,High,Delivered,72,76,Yes,5.4
O100079,Ahmedabad,Mumbai,12.4,Scooter,R1079,37,4.12,Medium,Foggy,Afternoon,Furniture,4.47,No,No,High,Delivered,67,56,Yes,5.4
O100080,Mumbai,Kolkata,11.5,Bike,R1080,34,4.07,High,Clear,Morning,Books,3.68,No,No,Low,Delivered,55,53,Yes,4.8
O100081,Mumbai,Kolkata,13.9,Mini Truck,R1081,35,4.48,Medium,Clear,Morning,Electronics,4.03,Yes,No,Normal,Delivered,54,32,Yes,3.9
O100082,Pune,Ahmedabad,24.2,Van,R1082,35,4.8,High,Rainy,Afternoon,Books,2.96,No,No,High,Delivered,139,127,Yes,5.8
O100083,Hyderabad,Pune,2.9,Bike,R1083,28,3.75,Low,Clear,Night,Books,3.35,No,No,Normal,Delivered,8,6,Yes,2.8
O100084,Bangalore,Hyderabad,10.0,Scooter,R1084,34,4.32,Medium,Foggy,Evening,Grocery,4.62,Yes,No,Normal,Delivered,54,51,Yes,5.4
O100085,Bangalore,Bangalore,23.6,Bike,R1085,21,4.16,Medium,Rainy,Morning,Furniture,0.62,No,No,Normal,Delivered,110,101,Yes,4.7
O100086,Hyderabad,Delhi,19.8,Mini Truck,R1086,21,3.85,Medium,Clear,Afternoon,Pharma,-0.54,Yes,No,Normal,Delivered,77,80,Yes,3.9
O100087,Bangalore,Chennai,8.2,Mini Truck,R1087,37,4.36,Low,Foggy,Evening,Grocery,4.61,Yes,No,Normal,Delivered,34,22,Yes,4.2
O100088,Kolkata,Chennai,14.0,Scooter,R1088,33,4.56,Low,Windy,Night,Furniture,2.91,No,No,Normal,Delivered,46,38,Yes,3.3
O100089,Pune,Kolkata,18.9,Scooter,R1089,34,4.52,High,Clear,Evening,Furniture,0.02,No,No,Normal,Delivered,90,92,Yes,4.8
O100090,Bangalore,Bangalore,20.2,Scooter,R1090,36,4.31,Medium,Clear,Morning,Pharma,2.1,No,No,Normal,Delivered,78,70,Yes,3.9
O100091,Kolkata,Bangalore,10.1,Scooter,R1091,42,5,High,Clear,Morning,Furniture,3.61,No,No,Normal,Delivered,48,74,No,4.8
O100092,Bangalore,Ahmedabad,11.5,Van,R1092,41,4.49,Low,Clear,Morning,Clothing,2.97,No,No,Low,Delivered,34,30,Yes,3.0
O100093,Chennai,Mumbai,10.0,Mini Truck,R1093,39,4.61,Medium,Clear,Afternoon,Clothing,3.02,No,No,Normal,Delivered,38,43,Yes,3.8
O100094,Kolkata,Kolkata,13.7,Scooter,R1094,34,4.36,Low,Clear,Afternoon,Pharma,3.66,No,No,Normal,Delivered,41,24,Yes,3.0
O100095,Mumbai,Hyderabad,17.3,Van,R1095,45,4.95,High,Foggy,Evening,Furniture,1.84,No,No,High,Delivered,116,124,No,6.7
